ANum_C,Global score,mean
CAN207,2.15,14.53
CAN190,0.319,15.45
CAN45,3.875,16.68
CAN225,0.806,19.33
CAN208,2.281,20.94
CAN96,3.394,21.63
CAN14,2.669,21.68
CAN173,1.725,21.77
CAN185,0.831,22.2
CAN220,0,22.22
CAN230,0.288,22.35
CAN385,2.15,22.53
CAN332,3.3,22.64
CAN163,2.65,22.8
CAN170,0,22.84
CAN390,5.7,23.11
CAN176,2.644,23.2
CAN115,3.619,23.34
CAN418,2.219,23.4
CAN5,1.894,23.51
CAN25,0.4,24.06
CAN35,1.844,24.07
CAN272,0,24.12
CAN227,0.081,24.34
CAN43,2.063,24.41
CAN32,1.888,24.88
CAN165,0.6,25.21
CAN153,1.288,25.25
CAN99,2.05,25.27
CAN389,1.769,25.54
CAN260,1.456,25.66
CAN17,2.85,25.67
CAN86,0.806,25.77
CAN187,0.081,26.28
CAN183,0.763,26.6
CAN23,0.181,26.63
CAN180,4.644,26.7
CAN16,2.063,26.78
CAN316,0.35,26.79
CAN240,0.6,26.82
CAN393,1.906,26.86
CAN360,0.363,27.06
CAN138,2.481,27.17
CAN9,2.275,27.37
CAN24,0.381,27.54
CAN329,5.356,27.65
CAN160,1.888,27.73
CAN229,0.963,27.96
CAN159,1.181,28.15
CAN254,1.019,28.35
CAN404,3.538,28.44
CAN57,3.781,28.54
CAN139,3.875,28.64
CAN307,0.313,28.83
CAN273,2.5,28.9
CAN299,1.731,29.15
CAN121,1.806,29.15
CAN29,3.844,29.25
CAN250,0.175,29.42
CAN175,3,29.45
CAN359,1.063,29.54
CAN186,1.244,29.55
CAN4,2.319,29.58
CAN248,0.275,29.58
CAN226,0.85,29.6
CAN105,2.675,29.66
CAN244,0.4,29.82
CAN34,0.231,29.95
CAN8,2.075,29.99
CAN53,2.025,30.44
CAN379,0.625,30.51
CAN31,1.9,30.53
CAN214,0,30.54
CAN380,2.794,30.55
CAN21,0.788,30.58
CAN37,1.481,30.72
CAN298,2.444,30.83
CAN363,2.85,30.83
CAN97,2.3,30.91
CAN364,3.269,30.92
CAN264,2.5,31.14
CAN344,2.15,31.41
CAN11,3.619,31.55
CAN211,2.381,31.58
CAN374,1.788,32.03
CAN334,2.263,32.26
CAN6,1.669,32.55
CAN245,1.556,32.83
CAN120,2.719,32.85
CAN204,2.45,33.5
CAN98,2.044,33.56
CAN331,2.1,33.58
CAN2,3.25,33.92
CAN342,4.763,34.42
CAN405,3.781,34.52
CAN142,3.594,35.48
CAN209,3.088,38
CAN1,3.75,38.3
CAN36,2.944,40.32
CAN201,3.275,43.51
CAN218,3,44.74
