"Sequence","RandomIntegers1","RandomIntegers2","RandomIntegers3"
1,8,6,5
2,1,5,8
3,5,1,1
4,8,2,4
5,4,5,1
6,7,6,6
7,7,6,7
8,7,7,8
9,8,5,1
10,6,8,5
11,5,4,8
12,1,3,3
13,6,3,4
14,7,7,4
15,7,5,5
16,4,7,6
17,8,5,7
18,7,4,4
19,6,5,5
20,8,2,8
21,4,3,5
22,5,2,5
23,8,8,1
24,6,4,4
25,8,7,4
26,2,8,4
27,5,5,3
28,7,6,3
29,7,2,3
30,3,4,4
31,6,6,7
32,3,6,7
33,8,4,3
34,8,8,1
35,1,5,2
36,8,6,3
37,2,7,4
38,7,6,3
39,8,4,8
40,5,8,4
41,4,8,1
42,6,5,4
43,7,7,2
44,8,5,5
45,1,8,5
46,1,3,5
47,8,8,1
48,8,4,5
49,7,2,5
50,8,5,1
51,8,6,6
52,1,8,6
53,8,8,8
54,5,6,5
55,7,3,4
56,5,4,4
57,8,5,4
58,5,8,1
59,7,2,1
60,5,8,4
61,3,4,3
62,8,8,4
63,8,3,1
64,8,6,1
65,6,3,2
66,8,8,6
67,8,8,2
68,5,8,2
69,2,7,4
70,5,8,3
71,5,8,5
72,6,5,8
73,8,7,2
74,5,3,3
75,7,5,3
76,5,8,8
77,6,7,2
78,7,7,4
79,8,3,6
80,6,4,2
81,8,4,8
82,8,6,6
83,8,3,2
84,4,7,5
85,8,3,4
86,5,8,5
87,6,7,4
88,8,4,7
89,8,6,1
90,3,5,3
91,3,6,4
92,2,6,2
93,6,3,2
94,6,4,4
95,7,6,4
96,7,8,1
97,4,8,7
98,3,4,5
99,8,7,8
100,8,5,6
101,2,6,3
